CoursesID,Title,Prerequisites,Units
ICS 6B,Boolean Logicand Discrete Structures,,4
ICS 6D,Discrete Mathematics for Computer Science,,4
ICS 6N,Computational Linear Algebra,ICS 31,4
ICS 31,Introduction to Programming,,4
ICS 32,Programming with Software Libraries,ICS 31,4
ICS 33,Intermediate Programming,ICS 32,4
ICS 45C,Programming in C/C++ as a Second Language,ICS 33,4
ICS 45J,Programming in Java as a Second Language,ICS 33,4
ICS 46,Data Structure Implementation and Analysis,ICS 45C,4
ICS 51,Introductory Computer Organization,ICS 6B+ICS 33,4
ICS 139W,Critical Writing on Information Technology,,4
STATS 67,Introduction to Probability and Statistics for Computer Science,,4
CS 122A,Introduction to Data Management,ICS 33,4
CS 132,Computer Networks,STATS 67,4
CS 143A,Principles of Operating Systems,ICS 46+ICS 51,4
CS 161,Design and Analysis of Algorithms,ICS 6B+ICS 6D+ICS 46,4
INF 43,Introduction to Software Engineering,ICS 32,4
INF 101,Concepts in Programming Languages I,ICS 51+ICS 46,4
INF 113,Requirements Analysis and Engineering,INF 43+ICS 33,4
INF 115,Software Testing Analysis and Quality Assurance,INF 43+ICS 45C,4
INF 121,Software Design: Applications,ICS 33,4
INF 122,Software Design: Structure and Implementation,INF 101+ICS 46,4
INF 124,Internet Applications Engineering,CS 132+ICS 45J,4
INF 131,Human Computer Interaction,ICS 31,4
INF 151,Project Management,INF 43,4
INF 191A,Senior Design Project,INF 121+INF 131+INF 151+INF 113,4
INF 191B,Senior Design Project,INF 191A,4
